OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,x,y
2505,G0934,Colusa Generating Station,0,Pacific Gas & Electric (PG&E),Colusa,692,"166, 336, 337",NG,12/22/2010 0:00,-122.2697872,39.36595794
2506,S9120,Roplast Industries Inc.,0,Not Available,Butte,1.2,1,SUN,1/1/2012 0:00,-121.5623726,39.47750468
2507,S9183,Pristine Sun Fund 1  LLC_(2125_Jarvis),0,Not Available,Butte,1,Unit 1,SUN,12/31/2013 0:00,-121.5661698,39.48359823
2508,S9184,Pristine Sun Fund 1  LLC_(2094_Buzzelle),0,Not Available,Butte,1.25,Unit 1,SUN,12/31/2013 0:00,-121.5639017,39.38780701
2509,E0064,Pacific Oroville Power Inc (Retired 10/20/2012),1,Pacific Oroville Power Inc,Butte,18.76,"GEN 1, GEN 2",WDS,12/1/1985 0:00,-121.5655446,39.48102094
2510,G0424,Oroville Cogeneration LP,0,Oroville Cogeneration LP,Butte,7.49,"GEN1, GEN2, GEN3, GEN4, GEN5, GEN6, GEN7",NG,5/1/1990 0:00,-121.5628513,39.49217488
2511,H0352,Colgate,0,Yuba County Water Agency,Yuba,315,"1, 2",WAT,3/12/1970 0:00,-121.18884,39.33091649
2512,H0053,Fish Power (NPCap = 0.15MW - No Reporting RQD),0,Yuba County Water Agency,Yuba,0.15,HY1,WAT,6/1/1986 0:00,-121.140498,39.39019935
2513,H0351,Bowman,0,Nevada Irrigation District,Nevada,3.6,Unit 1,WAT,9/1/1986 0:00,-120.6534217,39.44834109
2514,H0490,Spaulding #1,0,Pacific Gas & Electric (PG&E),Nevada,7.04,1,WAT,5/1/1928 0:00,-120.644773,39.32462215
2515,H0491,Spaulding #2,0,Pacific Gas & Electric (PG&E),Nevada,3.7,1,WAT,7/1/1928 0:00,-120.6453057,39.32460728
2516,H0492,Spaulding #3,0,Pacific Gas & Electric (PG&E),Nevada,6.61,572,WAT,1/1/1929 0:00,-120.6355275,39.33767536
2517,H0497,Stampede,0,United States Bureau of Reclamation,Sierra,3.65,"1, 2",WAT,1/1/1988 0:00,-120.1045254,39.47040867
2518,H0178,Farad (Non-operational since 1997),1,Sierra Pacific Resources,Nevada,2.8,"1, 2",WAT,1/1/1933 0:00,-120.0314938,39.41982917
2519,H0500,Stony Gorge,0,Silicon Valley Power,Glenn,5,"1, 2",WAT,4/1/1986 0:00,-122.5332341,39.58681604
2520,S9007,Rice Mill Inc. Far West,0,Not Available,Butte,1,1,SUN,1/1/2012 0:00,-121.8517954,39.55096594
2521,H0510,Thermalito (Unit 1 HY Unit 2-3-4 Pumping-Generating),0,California Department of Water Resources,Butte,115.1,"1, 2, 3, 4",WAT,11/1/1968 0:00,-121.6300662,39.51480268
2522,H0104,Coal Canyon,1,Pacific Gas & Electric (PG&E),Butte,0.9,1,WAT,12/1/1907 0:00,-121.6005051,39.60505079
2523,E0248,Ameresco Butte County Neal Road Landfill,0,Ameresco Inc,Butte,1,Unit 1,LFG,11/23/2012 0:00,-121.7264165,39.67463295
2524,H0164,"Edward C Hyatt (Unit 1,3,5 Pumping-Generating)",0,California Department of Water Resources,Butte,644.25,"1, 2, 3, 4, 5, 6",WAT,3/1/1968 0:00,-121.4922683,39.54289422
2525,H0263,Kelly Ridge,0,South Feather Water and Power,Butte,10,1,WAT,9/1/1963 0:00,-121.4912353,39.53167441
2526,H0511,Thermalito Diversion Dam,0,California Department of Water Resources,Butte,2.97,TD1,WAT,7/1/1987 0:00,-121.5463328,39.52875707
2527,S9185,Pristine Sun Fund 6 Butte PGE LLC_(2096_Cotton),0,Not Available,Butte,1,Unit 1,SUN,12/31/2013 0:00,-121.4593552,39.50830805
2528,H0191,Forbestown,0,South Feather Water and Power,Butte,39.7,1,WAT,10/1/1963 0:00,-121.2787204,39.55097097
2529,H0427,Kanaka,0,Grey Rock LLC,Butte,1.12,KAN1,WAT,12/1/1988 0:00,-121.2961959,39.55891815
2530,H0573,Woodleaf,0,South Feather Water and Power,Butte,55,1,WAT,11/1/1963 0:00,-121.204059,39.55392012
2531,H0362,Deadwood Creek,0,Not Available,Yuba,2,1,WAT,12/1/1993 0:00,-121.0957647,39.52999581
2532,H0484,Sly Creek,0,South Feather Water and Power,Butte,13.2,1,WAT,7/1/1983 0:00,-121.119566,39.5804535
2533,H0226,Lower Haypress Hydroelectric,0,Grey Rock LLC,Sierra,5,L GEN,WAT,1/1/1989 0:00,-120.5816807,39.56569606
2534,H0623,Middle Haypress Hydroelectric,0,Grey Rock LLC,Sierra,5,U GEN,WAT,12/1/1988 0:00,-120.5968868,39.56571567
2535,E0084,SPI - Loyalton - Shut Down 08/20/2010,1,Sierra Pacific Industries Inc,Sierra,20,GEN 1,WDS,9/1/1989 0:00,-120.239716,39.67010738
2536,C0023,Intermountain Power Project (UT),0,Los Angeles Department of Water & Power (LADWP),Millard,1800,"Unit 1, Unit 2",BIT,6/9/1986 0:00,-112.5798985,39.50994604
2537,H0046,Black Butte,0,Silicon Valley Power,Tehama,6.4,1,WAT,1/1/1988 0:00,-122.3323451,39.81489471
2538,H0235,Highline Canal,0,Silicon Valley Power,Glenn,0.5,1,WAT,3/1/1989 0:00,-122.1556792,39.76239194
2539,S0583,Enerparc CA2,0,"Adapture Renewables, Inc.",Glenn,1.5,Unit 1,SUN,3/1/2016 0:00,-122.1763015,39.69916472
2540,G1036,Sierra Nevada Brewing,0,Sierra Nevada Brewing Company,Butte,5,"Fuel Cell, Microturbines, Solar","NG, SUN",5/1/2005 0:00,-121.8158637,39.7237286
2541,S9021,City of Chico,0,Not Available,Butte,1,1,SUN,1/1/2012 0:00,-121.9092061,39.69603837
2542,S9186,Pristine Sun Fund 6 Butte PGE LLC_(2129_Ballard),0,Not Available,Butte,1,Unit 1,SUN,12/31/2013 0:00,-121.7702998,39.70204076
2543,H0092,Centerville,0,Pacific Gas & Electric (PG&E),Butte,7.3,"1, 2",WAT,6/1/1900 0:00,-121.6574255,39.78887451
2544,H0287,Lime Saddle,0,Pacific Gas & Electric (PG&E),Butte,2,"1, 2",WAT,8/1/1906 0:00,-121.570975,39.69875924
2545,H0121,Cresta,0,Pacific Gas & Electric (PG&E),Butte,70,"Unit 541, Unit 542",WAT,11/23/1949 0:00,-121.4097817,39.82591112
