OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,x,y
2715,H0152,Drop 5,0,Imperial Irrigation District,Imperial,4,"UNIT 1, UNIT 2",WAT,3/1/1982 0:00,-115.3920124,32.67309841
2716,H0150,Drop 3,0,Imperial Irrigation District,Imperial,9.8,"UNIT 1, UNIT 2",WAT,2/20/1941 0:00,-115.126056,32.7053911
2717,H0151,Drop 4,0,Imperial Irrigation District,Imperial,19.6,"UNIT 1, UNIT 2",WAT,8/9/1950 0:00,-115.2190973,32.70529685
2718,H0160,East Highline,0,Imperial Irrigation District,Imperial,2.42,UNIT 1,WAT,9/12/1984 0:00,-115.282635,32.699573
2719,H0147,Drop 1,0,Imperial Irrigation District,Imperial,5.85,"UNIT 1, UNIT 2, UNIT 3",WAT,11/16/1984 0:00,-114.9427319,32.71158816
2720,H0149,Drop 2,0,Imperial Irrigation District,Imperial,10,"UNIT 1, UNIT 2",WAT,12/5/1953 0:00,-115.0310125,32.70539049
2721,H0385,Pilot Knob,0,Imperial Irrigation District,Imperial,33,"UNIT 1, UNIT 2",WAT,1/31/1957 0:00,-114.7139055,32.73664701
2722,G1050,Qualcomm Building Q Central Plant,0,Qualcomm Inc,San Diego,4.54,TG-1,NG,7/18/2013 0:00,-117.2000931,32.90275922
2723,G0521,Salk Institute - Retired July 2004,1,Salk Institute,San Diego,1.3,"1, 2",NG,9/1/1984 0:00,-117.2461359,32.88706738
2724,G0551,4160 V Cogeneration System (Retired 12/31/2003),1,Sea World of California,San Diego,2.4,"Unit 1, Unit 2, Unit 3, Unit 4",NG,1/1/1981 0:00,-117.230923,32.76449164
2725,G1018,Johnson & Johnson PR&D Plant,1,Johnson & Johnson Pharmaceutical Research & Development LLC,San Diego,2.2,"Gen-1, Gen-2",NG,10/31/2003 0:00,-117.2361653,32.9011651
2726,S0129,UCSD Solar PV System,0,University of California San Diego,San Diego,1.2,Unit 1,SUN,6/1/2008 0:00,-117.2391531,32.87420842
2727,E0202,MM San Diego LLC - North City,0,City of San Diego Public Utilities Department,San Diego,3.8,Gen 1-4,LFG,3/1/1999 0:00,-117.197144,32.87868018
2728,E0244,North City Cogeneration Facility Expansion (NCCFE),0,City of San Diego,San Diego,1.6,Unit 1,LFG,11/12/2013 0:00,-117.1973699,32.87893458
2729,G0475,Qualcomm Building P Central Plant,0,Qualcomm Inc,San Diego,20.84,"DG-1, TG-1, TG-1-4, TG-2, TG-3, TG-4, TG-5",NG,1/1/1996 0:00,-117.1967473,32.89378751
2730,G0640,University of California San Diego Cogeneration Facility,0,University of California San Diego,San Diego,30,"Unit 1, Unit 2, Unit 3",NG,7/1/2001 0:00,-117.2393704,32.87361395
2731,G0646,VA San Diego Cogeneration Plant (VA Hospital),0,Veterans Administration Healthcare System San Diego,San Diego,4.6,1,NG,12/1/2004 0:00,-117.2302591,32.87550256
2732,G0746,Qualcomm Building W Power Plant,0,Qualcomm Inc,San Diego,12.59,"DG-1, DG-2, DG-3, TG-1",DFO,7/11/2006 0:00,-117.1956352,32.90288326
2733,G0990,Solar Turbines Inc. - Kearny Mesa Plant (Testing Only),0,Solar Turbines Incorporated,San Diego,14.9,"1, TestingUnits",NG,1/1/2001 0:00,-117.1289717,32.81625897
2734,G1023,Miramar Energy Facility 1 & 2,0,San Diego Gas & Electric,San Diego,95,"MEF 1, MEF 2",NG,6/1/2005 0:00,-117.1653842,32.87610966
2735,G0633,Union Tribune Publishing Co (Retired 2014),1,San Diego Union-Tribune Publishing Company,San Diego,3,UNIT 1,NG,3/1/1982 0:00,-117.1637453,32.7649442
2736,H0006,Alvarado Hydro Facility,1,San Diego County Water Authority,San Diego,2,"Unit 1, Unit 2",WAT,4/1/1985 0:00,-117.0458223,32.78125344
2737,H0612,Rancho Penasquitos,0,San Diego County Water Authority,San Diego,4.65,RPHES-GEN,WAT,1/23/2007 0:00,-117.113711,32.93699387
2738,E0054,MM San Diego LLC - Miramar Landfill,0,OPAL Fuels,San Diego,6.5,UNT1-4,LFG,7/1/1997 0:00,-117.1167967,32.89144033
2739,E0205,Miramar Energy LLC LFG,0,OPAL Fuels,San Diego,3.2,"GEN 1, GEN 2",LFG,5/1/2012 0:00,-117.1510213,32.84249747
2740,G0109,Childrens Hospital #2,0,Childrens Hospital & Health,San Diego,5.22,"1631, 1698, 1699, 1710, CG04566",NG,2/1/1993 0:00,-117.1524097,32.79883781
2741,G0241,Grossmont Hospital,0,Sharp Grossmont Hospital,San Diego,6.2,"GEN1, GEN2, Unit 1",NG,8/1/1983 0:00,-117.0064337,32.77964079
2742,G0298,Kyocera Project,0,Kyocera America Inc,San Diego,6.92,"0088, 0089, 0095, 0096, A4Y00333, A4Z00287",NG,2/1/1989 0:00,-117.1405545,32.81949875
2743,G0289,Kearny (Retired 12/31/2017),1,Cabrillo Power II LLC (NRG West Coast Inc),San Diego,127,"Kearny 1, Kearny 2A, Kearny 2B, Kearny 2C, Kearny 2D, Kearny 3A, Kearny 3B, Kearny 3C, Kearny 3D",NG,4/1/1972 0:00,-117.1337234,32.83394509
2744,G0360,San Diego Combustion Turbines - Miramar 1A 1B (Retired 12/31/2016),1,Cabrillo Power II LLC (NRG West Coast Inc),San Diego,33,"Unit 1A, Unit 1B",NG,5/15/1972 0:00,-117.1662973,32.87627877
2745,G0511,San Diego State University,0,San Diego State University,San Diego,14.3,"GEN 1, GEN 2, GEN 3",NG,9/1/2002 0:00,-117.0700684,32.77841612
2746,G0910,Cuyamaca Peak Energy Plant (formely CalPeak El Cajon),0,San Diego Gas & Electric,San Diego,46.8,1,NG,5/29/2002 0:00,-116.9618888,32.79301735
2747,G0951,El Cajon Energy Center,0,Wellhead Services Inc,San Diego,49.23,Gen 1,NG,6/15/2010 0:00,-116.972056,32.79616361
2748,E0094,Sycamore Landfill San Diego,0,Gas Recovery Systems Inc,San Diego,7.16,"Unit 1, Unit 1old, Unit 2, Unit 2old, Unit 3",LFG,5/13/2011 0:00,-116.9601986,32.85578061
2749,G0189,El Cajon  (retired 12/31/2016),1,Cabrillo Power II LLC (NRG West Coast Inc),San Diego,13,Unit 1,NG,11/1/1968 0:00,-116.9721679,32.79582792
2750,S9288,Descanso Solar - CRE,0,Not Available,San Diego,1.5,Unit 1,SUN,12/31/2013 0:00,-116.6003909,32.85734189
2751,W0467,Tule Wind,0,See WPRS for details,San Diego,131,WPRS 1,WND,1/5/2018 0:00,-116.3016207,32.76219724
2752,W0409,Ocotillo Express LLC,0,Pettern Energy (Ocotillo LLC),Imperial,265.44,WPRS 1,WND,12/28/2012 0:00,-116.0493742,32.75979112
2753,S0255,Imperial Solar Energy Center South,0,Tenaska Inc.,Imperial,128.9,56819,SUN,11/1/2013 0:00,-115.6929432,32.7506762
2754,S0677,SEPV EAST,0,Not Available,Imperial,3,Unit 1,SUN,1/1/2018 0:00,-115.7725631,32.79347756
2755,S0678,SPEV WEST,0,Not Available,Imperial,2,Unit 1,SUN,1/1/2018 0:00,-115.7814366,32.79345029
2756,H0531,Turnip,0,Imperial Irrigation District,Imperial,0.42,1,WAT,10/1/1964 0:00,-115.6294552,32.88933973
2757,S0461,ECPV Solar,0,Sol Orchard Imperial 1 LLC,Imperial,20,Unit 1,SUN,10/1/2013 0:00,-115.546429,32.8017992
2758,E0042,Mesquite Lake Resource Recovery Project - Retired Dec 2008,1,Chateau Energy Inc,Imperial,35.8,"1, L313",OGW,1/1/1988 0:00,-115.512416,32.90378934
2759,G0190,El Centro Generating Station,0,Imperial Irrigation District,Imperial,431.28,"1, 2-1, 2-2, 3, 30, 31, 32, 4",NG,4/15/1949 0:00,-115.5396903,32.8023283
2760,G0059,Brawley (Retired 12/31/2009),1,Imperial Irrigation District,Imperial,23,"UNIT 1, UNIT 2",DFO,1/1/1962 0:00,-115.5135492,32.90657786
2761,T0021,GEM II,1,Ormat Nevada Inc,Imperial,18.5,GEM 2,GEO,4/1/1989 0:00,-115.2637639,32.77562274
2762,T0022,GEM III,0,Ormat Nevada Inc,Imperial,18.5,GEM 3,GEO,5/1/1989 0:00,-115.2626653,32.77564506
2763,T0043,Ormesa Geothermal II,0,Ormat,Imperial,24,"10-20, 1-9",GEO,12/1/1987 0:00,-115.2474894,32.78658653
2764,T0062,Ormesa I,0,Ormesa Geothermal,Imperial,22.4,Ormesa 1,GEO,12/1/1986 0:00,-115.2577966,32.8152764
2765,T0063,Ormesa 1E (Retired 1/1/2015),1,Star Group 1E Geothermal Partn,Imperial,14.4,OE1-12,GEO,12/1/1988 0:00,-115.2554526,32.81606042
2766,T0066,Ormesa 1H (Retired 1/1/2016),1,Ormat,Imperial,14.4,Ormesa 1H,GEO,12/1/1989 0:00,-115.2474657,32.78432012
2767,H0471,Senator Wash (Pumping-Generating),0,United States Bureau of Reclamation,Imperial,7.83,Unit 1,WAT,10/1/1977 0:00,-114.4802157,32.90281643
2768,E0075,San Marcos,0,Gas Recovery Systems Inc,San Diego,1.8,"Unit 1, Unit 2",LFG,12/1/1985 0:00,-117.1934654,33.08918493
2769,E0251,Encina Water Pollution Control,0,Encina Wastewater Authority,San Diego,3,"EG-4610, EG-4620, EG-4630, EG-4640",OBG,1/1/1984 0:00,-117.3204378,33.11648878
2770,G0196,Encina Power Station (retired 12/11/2018),1,NRG Energy,San Diego,965,"Encina 1, Encina 2, Encina 3, Encina 4, Encina 5, Encina GT",NG,11/23/1954 0:00,-117.338418,33.1377662
2771,G0824,Carlsbad Energy Center,0,NRG Energy,San Diego,525,"CEC 10, CEC 6, CEC 7, CEC 8, CEC 9",NG,5/1/2018 0:00,-117.3355562,33.13645469
2772,G0945,Escondido Energy Center  LLC,0,Escondido Energy Center LLC,San Diego,93.9,"1, GEN 1",NG,6/12/2006 0:00,-117.1202759,33.12843211
2773,G0434,Palomar Medical Center (Retired 12/31/2006),1,Palomar Memorial Hospital,San Diego,1.3,"EG 1, EG 2",NG,8/1/1986 0:00,-117.074538,33.12577233
2774,G9879,USPS Rancho Carmel San Diego (Retired 12/31/2009),1,United States Post Office - San Diego,San Diego,1.5,1,NG,2/15/2006 0:00,-117.0794048,32.98544204
2775,H0613,Lake Hodges Station (Olivenhain Pumped Storage),0,San Diego County Water Authority,San Diego,40,"Unit 1, Unit 2",WAT,7/15/2011 0:00,-117.1187984,33.0578864
2776,S9003,Hewlett Packard,0,Not Available,San Diego,1,1,SUN,1/1/2012 0:00,-117.0881591,33.01089571
2777,G0233,Goal Line LP,0,Goal Line LP,San Diego,51.5,"Unit 1, Unit 2",NG,2/1/1995 0:00,-117.0992361,33.11865352
2778,G0845,Enterprise - CalPeak Power,0,CalPeak Power - Enterprise LLC,San Diego,48.92,1,NG,10/23/2001 0:00,-117.1173449,33.12219669
2779,G0861,Palomar Energy Center,0,San Diego Gas & Electric,San Diego,559,"CTG1, CTG2, STG",NG,10/1/2005 0:00,-117.1174382,33.11966572
2780,S0305,Ramona 1 & 2,0,Sol Orchard,San Diego,7,"Unit 1, Unit 2",SUN,12/1/2013 0:00,-116.8717182,33.01195744
2781,S0634,Ramona Solar Energy Facility,0,San Diego Gas & Electric,San Diego,4.9,Unit 1,SUN,5/1/2017 0:00,-116.86038,33.01976812
2782,S0715,Titan Solar I,0,Sunpin Solar,Imperial,70,Unit 1,SUN,12/21/2020 0:00,-116.3566192,33.1350259
2783,S0408,Seville Solar One,0,Duke Energy Renewables,San Diego,20,Unit 1,SUN,12/30/2015 0:00,-116.0030001,33.11610312
2784,S0409,Seville Solar Two,0,Duke Energy Renewables,San Diego,30,Unit 1,SUN,12/24/2015 0:00,-116.0035454,33.10903652
2785,S0679,Valencia I,0,Not Available,Imperial,3,Unit 1,SUN,1/1/2018 0:00,-115.6274645,33.04379635
2786,G0504,Rockwood Gas Turbine Plant,0,Imperial Irrigation District,Imperial,49.9,"UNIT 1, UNIT 2","DFO, NG",6/7/1979 0:00,-115.534624,32.9680829
2787,T0081,North Brawley,0,North Brawley Geothermal,Imperial,49.9,1,GEO,1/1/2009 0:00,-115.5409403,33.01381112
2788,S0296,NRG Solar Community I LLC (SDSU Solar),0,NRG Solar Community I LLC,Imperial,5.72,1,SUN,6/13/2014 0:00,-115.4820128,32.9835429
2789,S0324,Alhambra Solar Facility,0,Southern Power Company,Imperial,50,SGAH,SUN,11/26/2014 0:00,-115.4711077,33.08003196
2790,S0325,Arkansas Solar Facility,0,Southern Power Company,Imperial,50,SGAK,SUN,11/26/2014 0:00,-115.4716765,33.14391037
2791,S0242,Agua Caliente Solar (AZ),0,Agua Caliente Solar LLC,Yuma,243,1,SUN,1/19/2012 0:00,-113.4971974,32.98388335
2792,G0014,Pebbly Beach,0,Southern California Edison (SCE),Los Angeles,11.1,Unit 1,DFO,12/1/1995 0:00,-118.3102879,33.33352686
2793,H0408,Red Mountain,0,Metropolitan Water District,San Diego,5.9,1,WAT,3/1/1985 0:00,-117.2356644,33.32889683
2794,S0403,Genentech Inc - Oceanside,0,Genentech Inc,San Diego,4.1,1,SUN,5/12/2015 0:00,-117.2983714,33.21274053
2795,H0021,Bear Valley,0,City of Escondido,San Diego,1.5,2-Jan,WAT,6/8/1905 0:00,-117.0164292,33.16584931
2796,S0584,Mesa Crest (Lilac),0,NLP Granger A82 LLC,San Diego,3,Unit 1,SUN,9/17/2016 0:00,-117.0304279,33.26431413
2797,S0372,Borrego Solar - Twin Oaks,0,Not Available,San Diego,1,1,SUN,6/2/2011 0:00,-117.176822,33.21265576
2798,S0593,Cole Grade,0,Not Available,San Diego,2.33,Unit 1,SUN,12/7/2016 0:00,-117.022742,33.24929759
2799,S9178,Valley Center 1 & 2,0,Sol Orchard,San Diego,7.5,"Unit 1, Unit 2",SUN,12/1/2013 0:00,-117.0016424,33.23413949
2800,S0238,NRG Solar Borrego I,0,Clearway Energy,San Diego,26,1,SUN,2/12/2013 0:00,-116.3547375,33.29570301
2801,S9286,Desert Green Solar Farm LLC,0,Not Available,San Diego,3.5,1,SUN,10/31/2014 0:00,-116.3296921,33.26480447
2802,G0931,Niland Gas Turbine Plant,0,Imperial Irrigation District,Imperial,121,"Unit 1, Unit 2",NG,5/29/2008 0:00,-115.4992011,33.24301882
2803,S0161,IVSC1 - (SunPeak 1) - 23MW PV,0,Imperial Irrigation District,Imperial,23,Unit 1,SUN,6/1/2012 0:00,-115.4972388,33.24565008
2804,S0342,Imperial Valley Solar Company (IVSC) 2 LLC,0,Onward Energy,Imperial,20,1,SUN,8/6/2015 0:00,-115.497397,33.25425736
2805,S0347,Calipatria Solar Farm,0,Southern Power Company,Imperial,20,1,SUN,2/12/2016 0:00,-115.5322104,33.1658281
2806,S0522,Midway Solar Farm I,0,X-Elio North America Inc.,Imperial,49.9,Unit 1,SUN,12/14/2017 0:00,-115.5491104,33.16569033
2807,S0600,"Midway Solar Farm II (96WI 8ME, LLC)",0,Dominion Energy,Imperial,30.75,Unit 1,SUN,6/27/2017 0:00,-115.544025,33.15581172
2808,T0012,Del Ranch Company (formerly A W Hoch),0,Del Ranch L P,Imperial,35.8,GEN1,GEO,10/1/1988 0:00,-115.6161984,33.16436349
2809,T0015,J J Elmore,0,Elmore LP,Imperial,41.09,"GEN1, GEN2",GEO,11/1/1988 0:00,-115.6034227,33.17802887
2810,T0016,Salton Sea Unit 4,0,Salton Sea 4 Fish Lake Pwr Gen,Imperial,51,4100,GEO,5/1/1997 0:00,-115.6389299,33.15672267
2811,T0017,Salton Sea Unit 5,0,Salton Sea Power LLC,Imperial,49.9,1(TG-5100),GEO,6/1/2000 0:00,-115.6378557,33.15321809
2812,T0034,J M Leathers,0,Leathers LP,Imperial,35.8,GEN1,GEO,11/1/1988 0:00,-115.5658726,33.17813968
2813,T0047,Salton Sea Unit 1,0,Salton Sea Power Generatn LP 1,Imperial,10,EE11,GEO,7/1/1982 0:00,-115.6473941,33.15878724
2814,T0048,Salton Sea Unit 2,0,Salton Sea Power Generatn LP 2,Imperial,21.75,"GEN1, GEN2, GEN3",GEO,3/1/1990 0:00,-115.6474925,33.15793386
2815,T0049,Salton Sea Unit 3,0,Salton Sea Power Generatn LP 3,Imperial,53.97,GEN1,GEO,2/1/1989 0:00,-115.639226,33.157894
2816,T0053,Vulcan,0,Vulcan/BN Geothermal Power Co,Imperial,39.72,"GEN1, GEN2",GEO,12/1/1985 0:00,-115.619241,33.16244971
2817,T0073,CE Turbo LLC,0,CE Turbo LLC,Imperial,11.5,1,GEO,7/26/2000 0:00,-115.5096627,33.16745824
2818,T0082,John L Featherstone Plant -formerly Hudson Ranch Power I LLC,0,Hudson Ranch Energy Services LLC,Imperial,55,1,GEO,3/9/2012 0:00,-115.5733989,33.203955
2819,S0326,Sonora Solar Facility,0,Southern Power Company,Imperial,50,SGSO,SUN,11/26/2014 0:00,-115.4524239,33.16825147
2820,S0254,Mesquite Solar 1 (AZ),0,Mesquite Solar 1 LLC,Maricopa,165,MS1,SUN,1/1/2014 0:00,-112.9238736,33.34302473
2821,S0292,Arlington Valley Solar Energy II,0,LS Power,Maricopa,129,5912038,SUN,11/5/2013 0:00,-112.8337486,33.30205897
2822,S0561,Mesquite Solar 2 (AZ),0,Mesquite Solar 1 LLC,Maricopa,165,MS2,SUN,11/1/2016 0:00,-112.9487147,33.33917395
2823,S0562,Mesquite Solar 3 (AZ),0,Mesquite Solar 1 LLC,Maricopa,152,MS3,SUN,8/1/2016 0:00,-112.9299992,33.33229235
2824,S0402,USMC,0,United States Marine Corps,Orange,2.8,1,SUN,5/26/2015 0:00,-117.5799358,33.3949604
2825,E0194,MM Prima Deshecha Energy LLC,0,OPAL Fuels,Orange,6.1,"Unit 1, Unit 2",LFG,3/1/1999 0:00,-117.6146752,33.49499098
2826,E0155,Aliso Water Management Agency (Retired 12/26/2016),1,South Orange County Wastewater Authority,Orange,1.2,"GEN 1, GEN 2, GEN 3",OBG,3/1/1997 0:00,-117.7052985,33.53761719
2827,N0002,San Onofre Nuclear Generating Station -SONGS-Retired 7/15/13,1,Southern California Edison (SCE),San Diego,2254,"2, 3",NUC,1/1/1968 0:00,-117.5548362,33.3689045
2828,S9001,FPUD - Sanitary,0,Not Available,San Diego,1,1,SUN,1/1/2012 0:00,-117.2588538,33.36364307
2829,S9004,Farm ACW,0,Not Available,San Diego,1,1,SUN,1/1/2012 0:00,-117.3360615,33.44742466
2830,G1005,Orange Grove Energy,0,Orange Grove Energy LP,San Diego,100,"Gen-001, Gen-002",NG,6/17/2010 0:00,-117.1114001,33.35917947
2831,S0631,Temecula Valley USD Temecula Valley HS,0,Tesla Inc.,Riverside,1.11,9255391-CA,SUN,7/7/2017 0:00,-117.1163623,33.50300772
2832,S0142,Port of Los Angeles Berth 93,0,Port of Los Angeles,Los Angeles,1.1,SIP964652,SUN,7/1/2011 0:00,-118.2766721,33.74740376
2833,G1075,Huntington Beach Energy Project,0,AES Southland,Orange,696,"1A, 1B, 1S",NG,2/4/2020 0:00,-117.9791059,33.64469675
2834,E0025,Plant No 2,0,Orange County Sanitation District,Orange,16,"GEN 1, GEN 2, GEN 3, GEN 4, GEN 5, GEN 6",OBG,6/1/1993 0:00,-117.9568511,33.63878296
2835,G0274,Huntington Beach (AES),0,AES Huntington Beach LLC,Orange,1013,"1, 2, 3, 4, 5",NG,6/30/1958 0:00,-117.9786596,33.64439034
2836,G1019,Central Plant (UC Irvine),0,University of California Irvine,Orange,19,"CTG, STG",NG,3/2/2007 0:00,-117.8463918,33.64786631
2837,G1067,John Wayne Airport,0,"County of Orange, John Wayne Airport",Orange,7,"Unit 1, Unit 2, Unit 3, Unit 4",NG,1/1/2011 0:00,-117.8630015,33.67556746
2838,G9100,B Braun Medical Inc,0,B Braun Medical Inc,Orange,6.1,"Unit 1, Unit 2",NG,1/1/1995 0:00,-117.8346417,33.68881838
2839,G0483,Plant No 1,0,Orange County Sanitation District,Orange,7.5,"GEN1, GEN2, GEN3",OBG,6/1/1993 0:00,-117.9383475,33.69398901
2840,E0117,Coyote Canyon (Retired Dec 28 2015),1,OPAL Fuels,Orange,10,Unit 1,LFG,4/1/1989 0:00,-117.8220092,33.61313859
2841,G1014,Saddleback Community College,0,Saddleback Community College,Orange,0.82,"1, 2",NG,3/1/2003 0:00,-117.6650659,33.55195193
2842,E0226,Bowerman Power Landfill Gas,0,Bowerman Power LFG,Orange,23.59,"E-1, E-2, E-3, E-4, E-5, E-6, E-7",LFG,3/1/2016 0:00,-117.7106089,33.71571072
2843,S0623,Walmart (CA) - Store #2952 - Murrieta,0,Tesla Inc.,Riverside,1.09,9253086-CA,SUN,7/23/2015 0:00,-117.1942545,33.55297456
2844,G0868,Inland Empire Energy Center (Retired 12/31/2019),1,Inland Empire Energy Center,Riverside,810,"Unit 1, Unit 2",NG,6/1/2009 0:00,-117.1697062,33.73889047
2845,H0611,Diamond Valley Lake (Pumping-Generating),0,Metropolitan Water District,Riverside,29.7,Units,WAT,5/1/2001 0:00,-117.0705982,33.68107722
2846,S0422,AP North Lake Solar,0,Not Available,Riverside,20,Unit 1,SUN,7/1/2015 0:00,-117.0105998,33.74175073
2847,S0460,Augustine Energy PV,0,Augustine Energy Corporation,Riverside,3,Unit 1,SUN,1/1/2016 0:00,-116.1976861,33.65357243
2848,E0027,Desert View Power (Mecca Plant),0,Desert View Power (formerly Colmac Energy Inc),Riverside,47,GEN1,WDS,11/1/1991 0:00,-116.0887405,33.58611473
2849,G0130,Coachella,0,Imperial Irrigation District,Riverside,92.4,"UNIT 1, UNIT 2, UNIT 3, UNIT 4",NG,6/8/1972 0:00,-116.1719927,33.67561569
2850,S0722,"Maverick Solar 6, LLC",0,EDF Renewable Energy Inc,Riverside,100,Unit 1,SUN,10/22/2021 0:00,-115.2298829,33.69267074
2851,S0723,"Maverick Solar 7, LLC",0,EDF Renewable Energy Inc,Riverside,132,Unit 1,SUN,12/22/2021 0:00,-115.3320084,33.62701303
2852,S0710,Desert Harvest LLC,0,EDF Renewable Energy Inc,Riverside,80,Unit 1,SUN,12/17/2020 0:00,-115.2371158,33.6892049
2853,S0711,Desert Harvest II LLC,0,EDF Renewable Energy Inc,Riverside,70,Unit 1,SUN,12/17/2020 0:00,-115.236973,33.68739993
2854,S0712,Maverick Solar,0,EDF Renewable Energy Inc,Riverside,125,Unit 1,SUN,12/16/2020 0:00,-115.2365008,33.69105493
2855,S0713,Maverick Solar 4,0,EDF Renewable Energy Inc,Riverside,100,Unit 1,SUN,12/11/2020 0:00,-115.2348306,33.68783735
2856,S0114,Ironwood State Prison,0,Longroad Energy,Riverside,1,1,SUN,5/2/2008 0:00,-114.9184389,33.56540436
2857,S0259,Genesis Solar Energy Project,0,Genesis Solar LLC,Riverside,250,"Unit 1, Unit 2",SUN,3/7/2014 0:00,-114.994146,33.6663832
2858,S0357,Ironwood State Prison II,0,Not Available,Riverside,4,1,SUN,7/4/2012 0:00,-114.9192349,33.56703766
2859,S0111,Blythe 1 Solar,0,Clearway Energy,Riverside,21,1,SUN,12/18/2009 0:00,-114.7451718,33.59168359
2860,S0122,Chuckawalla Valley State Prison (CVSP),0,Longroad Energy,Riverside,0.94,Unit 1,SUN,7/1/2006 0:00,-114.9030858,33.56512899
2861,S0346,McCoy Solar LLC,0,McCoy Solar LLC,Riverside,250,Unit 1,SUN,8/8/2015 0:00,-114.7397105,33.69471699
2862,S0519,Blythe Solar 110 LLC,0,Blythe Solar 110 LLC,Riverside,110,Unit 1,SUN,3/18/2016 0:00,-114.7419347,33.6797099
2863,S0699,"Blythe Solar III, LLC",0,NextEra Energy Resources LLC,Riverside,125,Unit 3,SUN,5/21/2020 0:00,-114.7632403,33.67416111
2864,S0708,Blythe Solar IV LLC,0,NextEra Energy Resources LLC,Riverside,125,Unit 4,SUN,9/11/2020 0:00,-114.7495691,33.65409204
2865,S0406,Venable Solar 1,0,NextEra Energy Resources LLC,Riverside,1.5,Venable 1,SUN,4/13/2015 0:00,-114.5720896,33.59902107
2866,S0407,Venable Solar 2,0,NextEra Energy Resources LLC,Riverside,1.5,Venable 2,SUN,4/14/2015 0:00,-114.5721533,33.59729063
2867,S0529,Blythe Solar II LLC,0,NRG Solar Blythe II LLC,Riverside,125,Unit 1,SUN,7/18/2016 0:00,-114.6908713,33.61484967
2868,S0601,NRG Blythe Solar II LLC,0,Blythe Solar 110 LLC,Riverside,20,Unit 1,SUN,4/5/2017 0:00,-114.7016498,33.62690964
2869,G0787,Blythe Energy Project,0,Altagas Blythe Operations Inc,Riverside,537,"CT11, CT12, ST10",NG,12/1/2003 0:00,-114.6861771,33.6158497
2870,E0130,Palos Verdes Gas to Energy Facility - Retired Oct 2011,1,Sanitation Districts of Los Angeles County,Los Angeles,13,GN 1,LFG,5/1/1988 0:00,-118.349621,33.79291815
2871,G0053,El Segundo Energy Center,0,El Segundo Power LLC,Los Angeles,526,"UNIT 5, UNIT 6, UNIT 7, UNIT 8",NG,8/1/2013 0:00,-118.4245254,33.91023844
2872,G0105,Chevron El Segundo Refinery Cogeneration,0,Chevron Products Co - SoCal,Los Angeles,183.11,"GEN 1, GEN 2, GEN 3, GEN 4, GEN 5, GEN 6, GEN 7, GEN 8",NG,12/1/1987 0:00,-118.4036418,33.90559448
2873,G0194,El Segundo Power Station - Retired 12/31/2015,1,El Segundo Power LLC,Los Angeles,1020,"UNIT 1, UNIT 2, UNIT 3, UNIT 4",NG,4/1/1956 0:00,-118.4248225,33.91013855
2874,G0490,Redondo Beach LLC_(AES),0,AES Redondo Beach LLC,Los Angeles,1354.77,"5, 6, 7, 8",NG,10/1/1954 0:00,-118.3947385,33.84984019
2875,G0549,Scattergood,0,Los Angeles Department of Water & Power (LADWP),Los Angeles,1372.62,"Unit #1, Unit #2, Unit #3, Unit #4, Unit #5, Unit #6, Unit #7",NG,12/1/1958 0:00,-118.4275407,33.9182899
2876,G0803,Central Utility Plant (LAX),0,LAX Airport,Los Angeles,16,"1, 1RP, 2, 2RP",NG,2/1/1985 0:00,-118.4045849,33.94336391
2877,G0925,THUMS,0,THUMS Long Beach Company,Los Angeles,47.8,LM-600,NG,12/1/2002 0:00,-118.2141305,33.76836911
2878,G1030,Toyota Technical Center,0,Toyota Motor Engineering & Manufacturing NA Inc,Los Angeles,1.38,Unit 1,GAS,1/1/2006 0:00,-118.3059355,33.86082216
2879,G0621,Techni-Cast,1,Techni-Cast Corporation,Los Angeles,2.48,"1, 3397845",NG,4/30/2013 0:00,-118.1687492,33.92553681
2880,G0765,Linde Wilmington (Retired 12/2002),1,Praxair Inc,Los Angeles,31,"GEN 1, GEN 2",NG,1/1/1988 0:00,-118.2358921,33.79584841
2881,S0144,Konoike Pacific California Inc,1,Konoike Pacific California Inc,Los Angeles,1.4,Unit 1,SUN,4/8/2011 0:00,-118.2411348,33.79415883
2882,S0152,LA Harbor College,0,Los Angeles Community College District,Los Angeles,2.11,"1, 2",SUN,8/13/2010 0:00,-118.2863722,33.7845674
2883,S0182,Harbor College  LACCD,0,Los Angeles Community College District,Los Angeles,1.1,SIP1042132,SUN,12/20/2010 0:00,-118.2847861,33.7833454
2884,S0455,"SunE - Torrance
",0,Not Available,Los Angeles,0.98,Unit 1,SUN,10/16/2015 0:00,-118.3103309,33.85763655
2885,S0620,ATT (DirecTV Broadcast),0,Tesla Inc.,Los Angeles,1.02,908628-CA,SUN,3/4/2015 0:00,-118.2097879,33.82914317
2886,C0002,Los Angeles Refinery - Calciner,1,Tesoro Refining & Marketing Company LLC,Los Angeles,35.8,UNIT 1,PC,12/1/1982 0:00,-118.2281364,33.77594656
2887,E0112,Southeast Resource Recovery,0,SERRF Joint Powers Authority,Los Angeles,34.6,1,MSW,7/9/1987 0:00,-118.2403529,33.75926576
